Collection|FileName|Xpath|Values
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:fileIdentifier/gco:CharacterString|/DIF/Entry_ID
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:language/gco:CharacterString|eng
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:characterSet/gmd:MD_CharacterSetCode|utf8
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:characterSet/gmd:MD_CharacterSetCode/@codeListValue|utf8
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:characterSet/gmd:MD_CharacterSetCode/@codeList|http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#MD_CharacterSetCode
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:parentIdentifier/gco:CharacterString|/DIF/Parent_DIF
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:hierarchyLevel/gmd:MD_ScopeCode|dataset
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:hierarchyLevel/gmd:MD_ScopeCode/@codeList|http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#MD_ScopeCode
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:hierarchyLevel/gmd:MD_ScopeCode/@codeListValue|dataset
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:contact/gmd:CI_ResponsibleParty/gmd:individualName/gco:CharacterString|/DIF/Personnel[Role='DIF AUTHOR']/Last_Name, /DIF/Personnel[Role='DIF AUTHOR']/First_Name/DIF/Personnel[Role='DIF AUTHOR']/Middle_Name
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:contact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:phone/gmd:CI_Telephone/gmd:voice/gco:CharacterString|/DIF/Personnel[Role='DIF AUTHOR']/Phone
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:contact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:phone/gmd:CI_Telephone/gmd:facsimile/gco:CharacterString|/DIF/Personnel[Role='DIF AUTHOR']/Fax
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:contact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:deliveryPoint/gco:CharacterString|/DIF/Personnel[Role='DIF AUTHOR']/Contact_Address/Address
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:contact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:city/gco:CharacterString|/DIF/Personnel[Role='DIF AUTHOR']/Contact_Address/City
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:contact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:administrativeArea/gco:CharacterString|/DIF/Personnel[Role='DIF AUTHOR']/Contact_Address/Province_or_State
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:contact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:postalCode/gco:CharacterString|/DIF/Personnel[Role='DIF AUTHOR']/Contact_Address/Postal_Code
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:contact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:country/gco:CharacterString|/DIF/Personnel[Role='DIF AUTHOR']/Contact_Address/Country
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:contact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:electronicMailAddress/gco:CharacterString|/DIF/Personnel[Role='DIF AUTHOR']/Email
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:contact/gmd:CI_ResponsibleParty/gmd:role/gmd:CI_RoleCode|author
MetadataPaths|DIF2ISO_GCMD.xml|/gmd:MD_Metadata/gmd:contact/gmd:CI_ResponsibleParty/gmd:role/gmd:CI_RoleCode/@codeList|http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode
